zip,lat,lng,city,state_id,state_name,population,density,county_name
1001,42.06262,-72.62521,Agawam,MA,Massachusetts,16088,550.1,Hampden
1002,42.37633,-72.46462,Amherst,MA,Massachusetts,27323,198.1,Hampshire
1003,42.39135,-72.52327,Amherst,MA,Massachusetts,13711,6583.4,Hampshire
1005,42.42117,-72.10655,Barre,MA,Massachusetts,4947,44.2,Worcester
1007,42.28163,-72.40009,Belchertown,MA,Massachusetts,15304,107.7,Hampshire
1008,42.18234,-72.95819,Blandford,MA,Massachusetts,1171,7.4,Hampden
1009,42.21133,-72.34189,Bondsville,MA,Massachusetts,800,442.8,Hampden
1010,42.12904,-72.20597,Brimfield,MA,Massachusetts,3703,40.6,Hampden
1011,42.30233,-72.96448,Chester,MA,Massachusetts,1332,15.7,Hampden
1012,42.38495,-72.84675,Chesterfield,MA,Massachusetts,503,16.1,Hampshire
1013,42.16059,-72.60788,Chicopee,MA,Massachusetts,22709,1549.1,Hampden
1020,42.17618,-72.56538,Chicopee,MA,Massachusetts,30704,951.4,Hampden
1022,42.19721,-72.54249,Chicopee,MA,Massachusetts,2235,179.2,Hampden
1026,42.46858,-72.92296,Cummington,MA,Massachusetts,1071,14.7,Hampshire
1027,42.29506,-72.74303,Easthampton,MA,Massachusetts,17708,168.5,Hampshire
1028,42.05967,-72.49899,East Longmeadow,MA,Massachusetts,16386,489.6,Hampden
1029,42.19402,-73.05067,East Otis,MA,Massachusetts,511,19.8,Berkshire
1030,42.06869,-72.67967,Feeding Hills,MA,Massachusetts,12627,405.3,Hampden
1031,42.32782,-72.19191,Gilbertville,MA,Massachusetts,1577,90.4,Worcester
1032,42.45313,-72.81965,Goshen,MA,Massachusetts,430,17.2,Hampshire
1033,42.26082,-72.50361,Granby,MA,Massachusetts,6110,84.8,Hampshire
1034,42.0826,-72.95611,Granville,MA,Massachusetts,1991,11.3,Hampden
1035,42.35563,-72.5692,Hadley,MA,Massachusetts,5293,88.5,Hampshire
1036,42.0638,-72.4157,Hampden,MA,Massachusetts,4991,98.3,Hampden
1037,42.37063,-72.19466,Hardwick,MA,Massachusetts,692,14.4,Worcester
1038,42.38466,-72.60559,Hatfield,MA,Massachusetts,2601,108.9,Hampshire
1039,42.41049,-72.69188,Haydenville,MA,Massachusetts,1675,39.2,Hampshire
1040,42.21251,-72.64109,Holyoke,MA,Massachusetts,38480,702.0,Hampden
1050,42.29092,-72.87526,Huntington,MA,Massachusetts,2593,24.2,Hampshire
1053,42.35205,-72.71032,Leeds,MA,Massachusetts,2016,135.4,Hampshire
1054,42.47381,-72.48768,Leverett,MA,Massachusetts,1794,30.2,Franklin
1056,42.19211,-72.45805,Ludlow,MA,Massachusetts,21050,298.9,Hampden
1057,42.09118,-72.32392,Monson,MA,Massachusetts,8288,71.8,Hampden
1060,42.32218,-72.63126,Northampton,MA,Massachusetts,14975,532.0,Hampshire
1062,42.32146,-72.69244,Florence,MA,Massachusetts,9835,217.6,Hampshire
1063,42.31962,-72.63951,Northampton,MA,Massachusetts,2532,11063.0,Hampshire
1066,42.40742,-72.64032,North Hatfield,MA,Massachusetts,51,15.6,Hampshire
1068,42.35125,-72.04776,Oakham,MA,Massachusetts,1621,28.8,Worcester
1069,42.18798,-72.30578,Palmer,MA,Massachusetts,8870,122.1,Hampden
1070,42.51958,-72.92504,Plainfield,MA,Massachusetts,621,12.1,Hampshire
1071,42.16029,-72.8598,Russell,MA,Massachusetts,1280,31.5,Hampden
1072,42.46327,-72.41893,Shutesbury,MA,Massachusetts,1374,27.8,Franklin
1073,42.23084,-72.73856,Southampton,MA,Massachusetts,6158,84.5,Hampshire
1074,42.3837,-72.10021,South Barre,MA,Massachusetts,584,869.5,Worcester
1075,42.25672,-72.57928,South Hadley,MA,Massachusetts,18051,393.3,Hampshire
1077,42.05441,-72.77851,Southwick,MA,Massachusetts,9292,116.3,Hampden
1079,42.18508,-72.33406,Thorndike,MA,Massachusetts,521,125.1,Hampden
1080,42.18228,-72.36515,Three Rivers,MA,Massachusetts,2276,527.7,Hampden
1081,42.06232,-72.23085,Wales,MA,Massachusetts,1748,46.6,Hampden
1082,42.29816,-72.27676,Ware,MA,Massachusetts,10441,85.8,Hampshire
1083,42.20652,-72.19906,Warren,MA,Massachusetts,2701,81.7,Worcester
1084,42.38589,-72.88165,West Chesterfield,MA,Massachusetts,101,4.7,Hampshire
1085,42.15375,-72.76961,Westfield,MA,Massachusetts,41715,269.7,Hampden
1088,42.38981,-72.6465,West Hatfield,MA,Massachusetts,663,48.7,Hampshire
1089,42.12532,-72.65025,West Springfield,MA,Massachusetts,28814,665.0,Hampden
1092,42.20008,-72.23715,West Warren,MA,Massachusetts,1248,71.7,Worcester
1093,42.44335,-72.65099,Whately,MA,Massachusetts,157,14.1,Franklin
1094,42.36481,-72.13548,Wheelwright,MA,Massachusetts,70,37.6,Worcester
1095,42.12763,-72.42994,Wilbraham,MA,Massachusetts,14737,253.0,Hampden
1096,42.40968,-72.77213,Williamsburg,MA,Massachusetts,2413,26.0,Hampshire
1097,42.17722,-72.83175,Woronoco,MA,Massachusetts,64,14.2,Hampden
1098,42.39551,-72.94315,Worthington,MA,Massachusetts,1042,12.6,Hampshire
1103,42.10443,-72.58997,Springfield,MA,Massachusetts,2168,1925.2,Hampden
1104,42.13326,-72.56733,Springfield,MA,Massachusetts,23226,1714.0,Hampden
1105,42.09911,-72.57865,Springfield,MA,Massachusetts,12527,4010.9,Hampden
1106,42.04877,-72.57163,Longmeadow,MA,Massachusetts,16150,650.5,Hampden
1107,42.12116,-72.60642,Springfield,MA,Massachusetts,12387,3100.9,Hampden
1108,42.0814,-72.55866,Springfield,MA,Massachusetts,26257,2946.1,Hampden
1109,42.11839,-72.54876,Springfield,MA,Massachusetts,31242,2216.9,Hampden
1118,42.09476,-72.5253,Springfield,MA,Massachusetts,15073,1618.5,Hampden
1119,42.12452,-72.51126,Springfield,MA,Massachusetts,13803,1509.5,Hampden
1128,42.09497,-72.48806,Springfield,MA,Massachusetts,3232,1125.3,Hampden
1129,42.1211,-72.4877,Springfield,MA,Massachusetts,5916,664.8,Hampden
1144,42.10189,-72.59091,Springfield,MA,Massachusetts,0,0.0,Hampden
1151,42.15294,-72.50883,Indian Orchard,MA,Massachusetts,9640,1571.3,Hampden
1201,42.45614,-73.28114,Pittsfield,MA,Massachusetts,45372,290.2,Berkshire
1220,42.62686,-73.11873,Adams,MA,Massachusetts,8161,137.7,Berkshire
1222,42.06242,-73.32146,Ashley Falls,MA,Massachusetts,754,63.4,Berkshire
1223,42.31118,-73.09835,Becket,MA,Massachusetts,2658,14.8,Berkshire
1224,42.50622,-73.19841,Berkshire,MA,Massachusetts,186,154.3,Berkshire
1225,42.56385,-73.1512,Cheshire,MA,Massachusetts,3243,46.7,Berkshire
1226,42.47954,-73.15329,Dalton,MA,Massachusetts,6356,112.8,Berkshire
1229,42.29411,-73.35227,Glendale,MA,Massachusetts,142,22.1,Berkshire
1230,42.18197,-73.34244,Great Barrington,MA,Massachusetts,9139,36.4,Berkshire
1235,42.43181,-73.07336,Hinsdale,MA,Massachusetts,2610,21.6,Berkshire
1236,42.26923,-73.37999,Housatonic,MA,Massachusetts,1632,95.2,Berkshire
1237,42.5529,-73.25373,Lanesborough,MA,Massachusetts,2332,18.3,Berkshire
1238,42.30072,-73.22553,Lee,MA,Massachusetts,5626,78.7,Berkshire
1240,42.37567,-73.26466,Lenox,MA,Massachusetts,4926,79.5,Berkshire
1242,42.3334,-73.24967,Lenox Dale,MA,Massachusetts,279,234.5,Berkshire
1243,42.34752,-73.03467,Middlefield,MA,Massachusetts,163,4.4,Hampshire
1244,42.10924,-73.27475,Mill River,MA,Massachusetts,164,11.0,Berkshire
1245,42.19043,-73.21579,Monterey,MA,Massachusetts,771,11.5,Berkshire
1247,42.69813,-73.09264,North Adams,MA,Massachusetts,15405,129.5,Berkshire
1253,42.20751,-73.1118,Otis,MA,Massachusetts,879,16.0,Berkshire
1254,42.37972,-73.36608,Richmond,MA,Massachusetts,995,26.6,Berkshire
1255,42.1068,-73.12213,Sandisfield,MA,Massachusetts,865,6.6,Berkshire
1256,42.59627,-73.01958,Savoy,MA,Massachusetts,708,7.6,Berkshire
1257,42.0976,-73.37241,Sheffield,MA,Massachusetts,2034,23.2,Berkshire
1258,42.09396,-73.46616,South Egremont,MA,Massachusetts,161,2.8,Berkshire
1259,42.07316,-73.23282,Southfield,MA,Massachusetts,720,12.1,Berkshire
1260,42.26663,-73.2712,South Lee,MA,Massachusetts,331,49.4,Berkshire
1262,42.30433,-73.32013,Stockbridge,MA,Massachusetts,1627,31.8,Berkshire
1264,42.23997,-73.19686,Tyringham,MA,Massachusetts,252,6.7,Berkshire
1266,42.30264,-73.39846,West Stockbridge,MA,Massachusetts,920,17.6,Berkshire
1267,42.66593,-73.24209,Williamstown,MA,Massachusetts,8166,53.2,Berkshire
1270,42.51297,-73.04859,Windsor,MA,Massachusetts,949,11.4,Berkshire
1301,42.62375,-72.60379,Greenfield,MA,Massachusetts,17901,272.7,Franklin
1330,42.51772,-72.81556,Ashfield,MA,Massachusetts,1542,17.3,Franklin
1331,42.56793,-72.18324,Athol,MA,Massachusetts,13870,98.9,Worcester
1337,42.69512,-72.57731,Bernardston,MA,Massachusetts,2492,25.7,Franklin
1338,42.5814,-72.80309,Buckland,MA,Massachusetts,97,28.6,Franklin
1339,42.61099,-72.88846,Charlemont,MA,Massachusetts,1493,9.9,Franklin
1340,42.68805,-72.73205,Colrain,MA,Massachusetts,1818,13.5,Franklin
1341,42.50734,-72.70221,Conway,MA,Massachusetts,1658,19.1,Franklin
1342,42.54384,-72.6058,Deerfield,MA,Massachusetts,1135,23.8,Franklin
1343,42.66766,-72.98822,Drury,MA,Massachusetts,152,5.1,Berkshire
1344,42.60756,-72.42916,Erving,MA,Massachusetts,1697,47.5,Franklin
1346,42.6706,-72.81323,Heath,MA,Massachusetts,407,11.7,Franklin
1347,42.56027,-72.51321,Lake Pleasant,MA,Massachusetts,207,223.7,Franklin
1349,42.56656,-72.47045,Millers Falls,MA,Massachusetts,715,28.0,Franklin
1350,42.72259,-72.98291,Monroe Bridge,MA,Massachusetts,114,4.1,Franklin
1351,42.54162,-72.52069,Montague,MA,Massachusetts,2725,53.7,Franklin
1354,42.63282,-72.51136,Gill,MA,Massachusetts,1708,48.0,Franklin
1355,42.45101,-72.33141,New Salem,MA,Massachusetts,1010,8.2,Franklin
1360,42.67575,-72.446,Northfield,MA,Massachusetts,2899,32.6,Franklin
1364,42.60449,-72.29263,Orange,MA,Massachusetts,7684,82.4,Franklin
1366,42.48858,-72.18564,Petersham,MA,Massachusetts,1141,11.9,Worcester
1367,42.69674,-72.91387,Rowe,MA,Massachusetts,473,7.4,Franklin
1368,42.67815,-72.18557,Royalston,MA,Massachusetts,1461,12.7,Worcester
1370,42.59607,-72.72915,Shelburne Falls,MA,Massachusetts,3690,29.6,Franklin
1373,42.47292,-72.61516,South Deerfield,MA,Massachusetts,5076,85.0,Franklin
1375,42.46475,-72.55489,Sunderland,MA,Massachusetts,3667,100.6,Franklin
1376,42.59273,-72.54591,Turners Falls,MA,Massachusetts,4968,470.3,Franklin
1378,42.67711,-72.34057,Warwick,MA,Massachusetts,762,7.9,Franklin
1379,42.54149,-72.3989,Wendell,MA,Massachusetts,819,14.7,Franklin
1380,42.58675,-72.40264,Wendell Depot,MA,Massachusetts,47,2.8,Franklin
1420,42.58559,-71.81693,Fitchburg,MA,Massachusetts,41766,536.5,Worcester
1430,42.66069,-71.9232,Ashburnham,MA,Massachusetts,6316,66.4,Worcester
1431,42.67652,-71.82322,Ashby,MA,Massachusetts,3189,52.0,Middlesex
1432,42.56351,-71.57059,Ayer,MA,Massachusetts,7912,358.6,Middlesex
1434,42.53149,-71.61663,Devens,MA,Massachusetts,2245,133.1,Worcester
1436,42.60579,-72.08958,Baldwinville,MA,Massachusetts,3673,157.7,Worcester
1438,42.56028,-72.03583,East Templeton,MA,Massachusetts,365,434.0,Worcester
1440,42.58797,-71.98649,Gardner,MA,Massachusetts,21310,335.7,Worcester
1450,42.61368,-71.56139,Groton,MA,Massachusetts,11218,132.2,Middlesex
1451,42.50005,-71.57754,Harvard,MA,Massachusetts,5068,93.0,Worcester
1452,42.48378,-72.00514,Hubbardston,MA,Massachusetts,4338,40.8,Worcester
1453,42.51961,-71.76583,Leominster,MA,Massachusetts,43478,636.9,Worcester
1460,42.53503,-71.4891,Littleton,MA,Massachusetts,10063,235.3,Middlesex
1462,42.58994,-71.72036,Lunenburg,MA,Massachusetts,11657,169.1,Worcester
1463,42.67126,-71.60429,Pepperell,MA,Massachusetts,11707,200.2,Middlesex
1464,42.57411,-71.6475,Shirley,MA,Massachusetts,7400,188.9,Middlesex
